studentID,studentName,studentSchool,studentGender,studentNationality, studentEmail
U1216943C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1087372C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1607307C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1169062C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1444011C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1047190C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1345479C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1802397C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1786299C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1037151C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1029024C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1309949C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1187025C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1216096C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1038338C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1418086C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1890677C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1449727C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1956793C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1493615C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1406397C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1873576C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1321897C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1926138C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1432251C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1059520C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1107623C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1246279C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1218165C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1209496C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1943985C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1394942C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1753641C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1618952C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1150611C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1621925C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1503372C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1029857C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1722547C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1528701C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1682449C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1941361C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1699731C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1113971C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1293262C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1812743C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1009253C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1486607C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1121071C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1411215C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1111343C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1942577C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1307345C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1386429C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1531494C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1131672C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1083186C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1813533C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1659415C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1358746C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1556697C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1443788C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1997128C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1486870C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1840241C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1834338C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1899650C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1187992C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1085601C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1916754C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1243594C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1680064C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1199844C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1151727C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1655187C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1861369C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1057223C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1650482C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1330270C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1562733C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1181461C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1826136C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1184120C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1564022C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1182545C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1048752C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1646672C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1349924C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1276899C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1058174C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1284319C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1090646C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1126727C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1171756C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1407600C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1763746C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1835083C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1659187C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1075683C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1304794C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1538363C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1682047C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1280984C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1639514C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1399351C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1114856C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1174281C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1813678C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1480025C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1361492C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1695716C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1031192C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1446630C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1613692C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1434850C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1036962C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1298872C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1479123C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1857489C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
